title,company,location,link
Software Engineer,Google,서울,https://kr.indeed.com/viewjob?jk=857ae30c0bacaa35 
Junior Data Scientist,MSD,서울,https://kr.indeed.com/viewjob?jk=70b04d34ec7f6078 
Senior Deep Learning R&D Engineer,Intel,서울,https://kr.indeed.com/viewjob?jk=7ae9338822c0f0a0 
데이터 사이언티스트 (빅데이터/Python/R/데이터마이닝),이씨이십일알앤씨,서울 강남구,https://kr.indeed.com/viewjob?jk=9b528300e8743fee 
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/viewjob?jk=ce6747e77c861c46 
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/viewjob?jk=fb617eeb80ea6fa9 
Junior Full-stack Developer,Asiance,서울,https://kr.indeed.com/viewjob?jk=fb84164a9eed9423 
[전문연구요원] 상시,네이버,서울,https://kr.indeed.com/viewjob?jk=b79c2ae536063b01 
[Clova] Cross Platform Python Packaging Intern,네이버,서울,https://kr.indeed.com/viewjob?jk=85d495b911ccfb21 
현대오토에버 경력사원 대규모 상시,현대오토에버,서울,https://kr.indeed.com/viewjob?jk=ba9770b7b17a038e 
[NAVERxLINE] Global Ad AI Engineer/AI Planner,네이버,서울,https://kr.indeed.com/viewjob?jk=a358a39da5dfc360 
[Clova] Clova AI 인재,네이버,서울,https://kr.indeed.com/viewjob?jk=92bd400e3b5306ba 
Data Analytics Specialist,Philip Morris International,서울,https://kr.indeed.com/viewjob?jk=05e5e5314b49e28f 
Deep Learning R&D Engineer,Intel,서울,https://kr.indeed.com/viewjob?jk=58613b11ebe8779c 
Applications Engineer (Library Characterization),Synopsys,서울,https://kr.indeed.com/viewjob?jk=8c8700db243d1a3c 
[Autonomous Driving] Virtual Environment Simulation Engineer,네이버,서울,https://kr.indeed.com/viewjob?jk=5ed0334bca0963cb 
빅데이터/AI 분석,현대자동차그룹,서울,https://kr.indeed.com/viewjob?jk=8693f8e419a62c05 
데이터 분석가(팀장급),리디,서울,https://kr.indeed.com/viewjob?jk=5709dc5128aaf7d9 
데이터 엔지니어,리디,서울,https://kr.indeed.com/viewjob?jk=3723c7fe6cdd540a 
Data Analyst,레이니스트,서울,https://kr.indeed.com/viewjob?jk=e5ca14de265f7fc9 
[피파온라인4] 테크니컬 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=0bce5c7e8c1e521d 
SW engineer intern,Intel,서울,https://kr.indeed.com/viewjob?jk=ae042b7756b8eecd 
Software Engineer,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=1cf825d234463890 
Data Center Technician,Amzn Corporate Services Korea,서울,https://kr.indeed.com/viewjob?jk=46eb8394df1e2682 
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab 
Senior R&D Engineer,Synopsys,서울,https://kr.indeed.com/viewjob?jk=4b6541fefc98ee60 
하나손해보험 경력직,하나손해보험,서울 종로구,https://kr.indeed.com/viewjob?jk=0c07d097f996104e 
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac 
Research Engineer,Wikimedia Foundation,서울,https://kr.indeed.com/viewjob?jk=fc8573fc20273d28 
네이버 쇼핑검색플랫폼 개발자,네이버,서울,https://kr.indeed.com/viewjob?jk=f3a14b3f8d9e3e12 
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e 
글로벌 여행 스타트업 Trazy - 백엔드 개발자 (Python),트레이지(Trazy),서울 중구,https://kr.indeed.com/viewjob?jk=7c3e870969914d57 
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울 성동구,https://kr.indeed.com/viewjob?jk=e1f5a3b0bd3eabfe 
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a746de9c7a6168ef 
8퍼센트 경력 개발자,8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=464ef95516a5fa5c 
[반도체IP 전문기업] Reference SW Engineer (Junior급),커리어라임즈,서울,https://kr.indeed.com/viewjob?jk=6560bc80b6b93295 
Customer Engagement Specialist,Sanofi,서울,https://kr.indeed.com/viewjob?jk=bb76e00964d6cec6 
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4 
2020 KB데이타시스템 경력직 상시,KB데이타시스템,서울 마포구,https://kr.indeed.com/viewjob?jk=28fe1c7cb71014dc 
Security Engineer,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=7d7876eb4500d8a5 
전략 기획 & IT 컨설팅,페니로이스,서울 종로구,https://kr.indeed.com/viewjob?jk=e38ddf92caadc900 
데이터 분석가(팀원급),RIDI Corp,서울,https://kr.indeed.com/viewjob?jk=c1f0fb72d67b887f 
Data Analyst,Axiologic Solutions,서울,https://kr.indeed.com/viewjob?jk=eb45c08f4c4a43d8 
Support Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=0bbf23c0930be392 
2020년 하반기 각 부문 신입/경력,스탠드포인트,서울 금천구,https://kr.indeed.com/viewjob?jk=158d61f253f65fb4 
"소프트웨어 엔지니어, C,C++,Python 외 신입/경력 정규직",이투비비,서울 금천구,https://kr.indeed.com/viewjob?jk=231878ad9df98dae 
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=5677a2eb3bba9c10 
2020년 각 부문 신입/경력,더이앤엠,서울,https://kr.indeed.com/viewjob?jk=ee4d4d032c3e47c8 
Support Engineer _ Azure PaaS,Microsoft,서울,https://kr.indeed.com/viewjob?jk=76730b837fd4d4d7 
[NAVERxLINE] Global Ad Data Engineer/Data Analyst/User Data Analyst,네이버,서울,https://kr.indeed.com/viewjob?jk=713deb15cc6428fd 
